price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors
2937580.0;43.98268168;56.25901857;41.99;18.28;9.06;1;16;17
1950000.0;43.8745;56.330033;34.0;17.0;12.0;1;8;9
2400000.0;43.847272;56.359425;55.0;35.0;6.0;3;4;5
2949999.0;43.833447;56.242824;66.0;48.0;7.2;3;3;3
3950000.0;43.944434;56.282835;70.5;43.0;9.5;3;9;9
3100000.0;43.924357;56.343014;53.0;30.3;9.2;2;3;9
8000000.0;43.941541;56.335316;88.0;50.0;12.0;3;11;17
4500000.0;44.007289;56.317462;60.0;40.0;7.0;3;5;9
3890000.0;43.928444;56.326433;60.0;38.0;8.0;3;3;10
1450000.0;43.882998;56.263122;33.0;17.4;6.0;1;1;5
1750000.0;43.952384;56.229321;30.0;18.0;5.4;1;8;9
2450000.0;43.951989;56.223306;32.0;16.0;6.0;1;10;10
2100000.0;43.878506;56.317457;36.0;18.0;9.0;1;9;10
1900000.0;43.971383;56.241469;32.0;20.0;6.0;1;2;5
2400000.0;43.901611;56.263737;45.0;27.0;6.5;2;1;9
2100000.0;43.869712;56.32765;38.0;0.0;0.0;1;4;9
2880000.0;43.85427;56.348746;52.5;0.0;9.1;2;9;10
1800000.0;43.85639;56.288786;53.4;30.3;7.0;2;1;3
3550000.0;43.840687;56.305764;62.0;30.0;10.0;2;10;14
2600000.0;43.932774;56.288721;58.0;40.0;6.0;3;5;5
3050000.0;43.870934;56.336031;60.0;0.0;9.0;3;5;9
2500000.0;44.0409106;56.30373476;46.0;30.0;6.0;2;5;5
3200000.0;43.935756;56.306198;52.8;36.2;8.5;2;3;4
3450000.0;43.933025;56.348387;41.0;22.0;10.0;1;2;16
3450000.0;43.871796;56.323642;62.8;43.8;7.1;3;6;9
2650000.0;43.862274;56.2283;46.0;0.0;0.0;2;9;9
2850000.0;43.913765;56.332551;34.0;0.0;9.0;1;10;12
2130000.0;44.08458488;56.27689825;36.0;15.2;8.5;1;12;19
5450000.0;43.935199;56.303691;80.3;46.2;11.0;3;1;10
5180000.0;44.017269;56.264557;81.7;48.8;11.3;3;16;17
7000000.0;43.933429;56.278508;95.0;0.0;0.0;4;1;5
8500000.0;44.003103;56.312055;83.0;47.0;14.0;3;4;17
4200000.0;44.002079;56.312385;51.0;18.0;10.0;1;6;9
4650000.0;44.044955;56.304765;83.0;45.0;21.0;3;6;16
5950000.0;44.032954;56.28344;98.0;47.0;13.0;3;3;10
2950000.0;43.815624;56.363863;52.7;0.0;0.0;3;5;9
1499000.0;44.022692;56.214227;32.5;17.0;9.0;1;2;3
4000000.0;43.883995;56.330266;76.8;48.7;10.1;4;2;5
3550000.0;43.911457;56.26549;60.0;33.0;10.0;2;3;5
1350000.0;43.81628;56.361953;21.0;12.0;5.0;1;1;9
5200000.0;44.073001;56.283864;73.0;35.0;11.0;2;10;17
3260000.0;43.867161;56.232964;63.0;40.0;7.7;3;9;9
4600000.0;43.875874;56.261508;79.4;55.8;9.1;4;3;9
2650000.0;43.85816;56.229466;59.3;42.9;6.0;4;4;5
2550000.0;43.840687;56.305764;57.0;30.0;9.0;2;1;14
4138880.0;43.822326;56.230107;71.36;43.42;11.28;3;7;10
12500000.0;44.018814;56.314891;115.0;65.0;14.0;3;10;10
4350000.0;44.04508375;56.30470536;74.0;31.0;24.0;2;9;16
6990000.0;43.986574;56.311801;76.0;40.0;12.0;2;4;6
1350000.0;43.917511;56.162241;30.0;13.0;6.5;1;2;5
3250000.0;43.927671;56.343568;64.1;44.4;7.0;3;7;9
1700000.0;43.801979;56.309214;46.0;26.0;6.0;2;3;3
4500000.0;44.02407;56.320323;67.0;49.0;7.0;3;4;9
3580000.0;0.0;0.0;60.0;31.0;12.0;2;15;17
4710000.0;43.897847;56.264882;85.6;52.0;11.2;3;11;16
6900000.0;43.986574;56.311801;76.0;38.0;12.0;2;4;6
3800000.0;0.0;0.0;57.0;41.0;5.0;3;5;5
3100000.0;43.971383;56.241469;55.0;35.0;6.0;3;1;5
2550000.0;0.0;0.0;43.0;12.0;20.0;1;15;17
5170000.0;43.897847;56.264882;94.0;48.0;14.4;3;10;16
5140000.0;0.0;0.0;89.0;46.0;20.0;3;10;17
3920000.0;0.0;0.0;66.0;28.0;20.0;2;10;17
2870000.0;43.880213;56.228416;56.0;40.0;9.0;3;4;9
5500000.0;43.852581;56.256203;92.0;0.0;9.0;4;1;9
3850000.0;43.869712;56.327655;75.0;49.0;7.8;4;8;9
3550000.0;44.046141;56.287092;62.1;45.4;7.2;3;3;9
2818630.0;44.01725401;56.2646333;42.6;19.5;9.2;1;14;17
5557270.0;44.01820888;56.26366006;81.3;48.4;11.4;3;16;17
2815830.0;44.01725401;56.2646333;42.4;19.5;9.6;1;15;17
2540000.0;43.936187;56.322584;44.0;27.3;7.0;2;9;9
3950000.0;43.991604;56.276029;69.0;0.0;0.0;3;3;9
1600000.0;44.091596;56.264607;29.0;14.0;8.0;1;4;5
2470000.0;43.95313172;56.300231;38.0;15.5;11.0;1;2;25
3251850.0;43.82559323;56.23038617;56.2;36.21;6.58;3;9;10
2671590.0;43.80145294;56.36201185;46.0;27.6;11.4;2;4;17
1450000.0;43.994802;56.313898;19.1;0.0;0.0;0;4;21
2150000.0;43.845664;56.34276;45.0;29.0;5.5;2;1;5
2600000.0;43.867817;56.348173;36.0;21.5;7.0;2;9;9
2800000.0;43.936053;56.277488;39.9;19.2;8.2;1;2;10
4000000.0;43.862049;56.238464;75.0;58.0;13.0;3;2;9
4800000.0;43.81938783;56.22658365;98.0;60.0;8.5;4;10;10
3350000.0;43.82560122;56.36646104;64.2;45.0;7.0;3;3;9
1750000.0;43.952384;56.229321;28.0;18.0;5.0;1;8;9
700000.0;43.80627199;56.20085134;13.0;10.0;3.0;0;1;5
10300000.0;44.074195;56.303107;121.0;74.0;15.0;4;5;11
1950000.0;44.024662;56.294846;38.0;29.0;4.5;3;2;2
5200000.0;44.011089;56.310632;50.0;21.0;10.0;1;11;14
5100000.0;44.040302;56.282365;70.0;38.9;10.4;2;6;10
2250000.0;44.028687;56.293677;41.7;27.4;5.4;2;5;5
1350000.0;43.928875;56.299766;25.0;14.3;7.8;1;2;2
3650000.0;44.020934;56.263057;53.4;29.9;8.1;2;3;19
2800000.0;44.045153;56.302423;58.8;45.7;5.5;3;1;5
5200000.0;44.035469;56.2828;70.0;39.0;17.0;2;13;19
4200000.0;43.964906;56.233294;66.3;36.7;9.0;2;8;17
5700000.0;44.052816;56.313998;63.0;32.0;12.0;2;12;13
5100000.0;44.030187;56.312879;80.0;39.0;17.5;2;13;17
3600000.0;43.97406;56.321571;68.0;40.0;9.0;2;3;3
3850000.0;43.981624;56.283355;62.0;46.0;7.0;3;3;9
2250000.0;43.953857;56.329702;29.9;20.2;4.9;2;4;5
2800000.0;43.958609;56.231818;40.6;0.0;0.0;2;2;5
2450000.0;43.924042;56.303591;59.6;32.1;15.1;2;24;27
3500000.0;43.983798;56.256758;50.0;30.0;8.0;2;9;9
5160000.0;44.080196;56.284609;69.2;37.2;13.0;2;4;5
5500000.0;43.991236;56.328978;86.0;53.0;17.0;3;2;3
3600000.0;44.045656;56.282825;54.9;29.3;8.0;2;11;12
3150000.0;43.866882;56.258373;62.0;47.5;6.5;3;4;5
2050000.0;43.818167;56.367288;49.7;34.7;5.9;2;1;5
2400000.0;43.993814;56.286198;43.9;28.0;5.9;2;1;5
7800000.0;43.927195;56.33831;90.0;47.0;10.0;3;5;10
6200000.0;43.935298;56.347649;66.0;32.0;17.0;2;11;16
3270000.0;43.951881;56.341363;44.0;19.0;10.0;1;2;17
3000000.0;43.872524;56.314916;78.0;49.0;9.0;3;4;5
3698330.0;43.94623626;56.30902238;55.7;30.5;8.9;2;10;24
2618240.0;43.94623626;56.30902238;36.9;16.1;7.8;1;17;24
2381600.0;43.94623626;56.30902238;33.5;18.3;6.7;1;22;24
6950000.0;44.06347;56.316284;82.3;46.9;11.4;3;15;17
1650000.0;43.9091092;56.27457706;30.3;18.3;5.8;1;5;5
3800000.0;43.946608;56.332915;60.1;44.2;7.0;3;9;9
2900000.0;44.020934;56.263057;39.0;17.0;8.0;1;3;19
2650000.0;43.929064;56.336024;43.7;29.0;7.8;2;2;9
1700000.0;43.868697;56.323293;56.1;41.0;6.0;2;1;2
2400000.0;43.95401;56.231698;50.0;35.0;6.5;3;5;5
2180000.0;44.045521;56.285923;42.8;19.3;12.0;1;16;27
5500000.0;43.930246;56.324166;85.0;0.0;22.0;3;6;19
3050155.0;44.043949;56.284969;59.5;32.2;15.8;2;15;26
3850080.0;44.045521;56.285923;78.0;48.0;19.1;3;18;27
4990000.0;44.01028554;56.31824292;48.0;0.0;0.0;2;6;9
