price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors;pricePerSquare
5100000.0;44.040302;56.282365;70.0;38.9;10.4;2;6;10;72857.14285714286
2250000.0;44.028687;56.293677;41.7;27.4;5.4;2;5;5;53956.834532374094
1350000.0;43.928875;56.299766;25.0;14.3;7.8;1;2;2;54000.0
3650000.0;44.020934;56.263057;53.4;29.9;8.1;2;3;19;68352.05992509364
2800000.0;44.045153;56.302423;58.8;45.7;5.5;3;1;5;47619.04761904762
5200000.0;44.035469;56.2828;70.0;39.0;17.0;2;13;19;74285.71428571429
4200000.0;43.964906;56.233294;66.3;36.7;9.0;2;8;17;63348.416289592766
5100000.0;44.030187;56.312879;80.0;39.0;17.5;2;13;17;63750.0
3600000.0;43.97406;56.321571;68.0;40.0;9.0;2;3;3;52941.17647058824
3850000.0;43.981624;56.283355;62.0;46.0;7.0;3;3;9;62096.77419354839
2250000.0;43.953857;56.329702;29.9;20.2;4.9;2;4;5;75250.83612040133
2450000.0;43.924042;56.303591;59.6;32.1;15.1;2;24;27;41107.38255033557
3500000.0;43.983798;56.256758;50.0;30.0;8.0;2;9;9;70000.0
5160000.0;44.080196;56.284609;69.2;37.2;13.0;2;4;5;74566.4739884393
5500000.0;43.991236;56.328978;86.0;53.0;17.0;3;2;3;63953.48837209302
3600000.0;44.045656;56.282825;54.9;29.3;8.0;2;11;12;65573.77049180328
3150000.0;43.866882;56.258373;62.0;47.5;6.5;3;4;5;50806.45161290323
2050000.0;43.818167;56.367288;49.7;34.7;5.9;2;1;5;41247.48490945674
2400000.0;43.993814;56.286198;43.9;28.0;5.9;2;1;5;54669.703872437356
3270000.0;43.951881;56.341363;44.0;19.0;10.0;1;2;17;74318.18181818182
3000000.0;43.872524;56.314916;78.0;49.0;9.0;3;4;5;38461.53846153846
3698330.0;43.94623626;56.30902238;55.7;30.5;8.9;2;10;24;66397.30700179533
2618240.0;43.94623626;56.30902238;36.9;16.1;7.8;1;17;24;70955.01355013551
2381600.0;43.94623626;56.30902238;33.5;18.3;6.7;1;22;24;71092.53731343284
1650000.0;43.9091092;56.27457706;30.3;18.3;5.8;1;5;5;54455.44554455445
3800000.0;43.946608;56.332915;60.1;44.2;7.0;3;9;9;63227.953410981696
2900000.0;44.020934;56.263057;39.0;17.0;8.0;1;3;19;74358.97435897436
2650000.0;43.929064;56.336024;43.7;29.0;7.8;2;2;9;60640.73226544622
2400000.0;43.95401;56.231698;50.0;35.0;6.5;3;5;5;48000.0
2180000.0;44.045521;56.285923;42.8;19.3;12.0;1;16;27;50934.57943925234
3050155.0;44.043949;56.284969;59.5;32.2;15.8;2;15;26;51263.10924369748
3850080.0;44.045521;56.285923;78.0;48.0;19.1;3;18;27;49360.0
1270000.0;43.87123;56.269506;22.0;12.0;4.0;1;4;9;57727.27272727273
5600000.0;43.857243;56.258473;80.0;44.0;9.0;2;9;14;70000.0
2750000.0;43.981031;56.278183;44.0;29.0;6.0;2;5;5;62500.0
2400000.0;43.942269;56.291254;40.1;21.3;9.2;1;6;9;59850.3740648379
2850000.0;44.027483;56.297573;51.5;29.5;7.7;2;1;10;55339.80582524272
1750000.0;43.803944;56.360684;32.0;15.8;8.3;1;10;11;54687.5
1650000.0;43.803944;56.360684;29.7;16.3;5.1;1;9;11;55555.555555555555
3682800.0;43.98303949;56.28798438;59.4;32.3;11.8;2;8;18;62000.0
2100000.0;43.842659;56.341145;45.1;30.4;5.5;2;3;5;46563.19290465632
2301000.0;43.98303949;56.28798438;35.4;15.2;9.3;1;4;18;65000.0
6900000.0;44.031425;56.322193;83.4;45.3;18.2;2;5;5;82733.81294964028
3780000.0;43.945853;56.22784;67.0;37.6;9.3;3;9;9;56417.91044776119
4100000.0;44.042251;56.285308;68.0;36.0;12.0;2;11;16;60294.117647058825
11999999.0;44.061511;56.28932;230.0;180.0;32.0;6;3;4;52173.90869565217
5900000.0;43.982208;56.321646;92.1;56.0;16.0;4;2;5;64060.80347448426
2585000.0;43.91463512;56.34385477;39.0;19.0;11.0;2;13;17;66282.05128205128
2955000.0;43.962023;56.331538;46.0;28.0;7.0;2;6;10;64239.13043478261
3050000.0;43.85833;56.223137;47.0;35.0;6.0;2;1;5;64893.617021276594
2800000.0;44.080331;56.2827;41.0;19.0;9.0;1;4;5;68292.68292682926
2100000.0;43.897093;56.312809;40.0;24.0;8.0;2;4;5;52500.0
4200000.0;43.962014;56.332147;60.0;31.0;12.0;2;5;8;70000.0
3250000.0;44.085056;56.282006;48.0;21.0;12.0;1;14;14;67708.33333333333
4500000.0;43.993051;56.296794;73.0;47.4;8.2;4;9;12;61643.83561643836
2850000.0;44.060155;56.299341;46.0;28.0;7.5;2;1;9;61956.52173913043
1330000.0;43.885127;56.305124;34.0;24.0;5.0;1;1;2;39117.64705882353
3100000.0;44.048216;56.288076;50.0;34.4;6.0;3;5;5;62000.0
2340000.0;43.939107;56.285523;39.0;20.0;9.0;1;2;9;60000.0
4200000.0;43.881076;56.335206;87.0;54.0;8.0;3;4;4;48275.862068965514
2595000.0;43.95701;56.232619;37.0;18.0;7.0;1;14;15;70135.13513513513
4650000.0;43.866038;56.249612;66.0;50.0;7.0;3;2;5;70454.54545454546
2150000.0;44.052986;56.316394;34.0;18.0;6.0;1;2;9;63235.294117647056
4295000.0;43.80974;56.367733;81.0;46.2;10.0;3;2;10;53024.69135802469
4200000.0;43.927114;56.340784;60.0;42.0;7.0;3;1;9;70000.0
5000000.0;43.881103;56.329702;87.0;54.0;11.0;4;4;4;57471.26436781609
2450000.0;43.820394;56.230002;37.0;18.0;10.0;1;3;15;66216.21621621621
2200000.0;43.90647002;56.3438557;32.0;16.0;8.0;1;2;10;68750.0
4700000.0;44.056535;56.298692;86.6;55.5;9.0;4;7;9;54272.51732101617
1000000.0;43.844586;56.306018;25.0;18.0;6.0;1;5;9;40000.0
5155200.0;43.97661922;56.30044324;71.6;31.1;11.4;2;3;25;72000.0
5450640.0;43.99836552;56.3038439;104.82;59.83;17.89;3;8;18;52000.0
1340000.0;44.075238;56.295295;19.5;10.0;5.0;1;10;19;68717.94871794872
1500000.0;43.804476;56.346043;33.0;18.5;7.0;1;5;5;45454.545454545456
1700000.0;43.878129;56.317422;28.0;13.0;8.0;1;6;9;60714.28571428572
2450000.0;43.882396;56.336548;50.0;29.0;8.0;2;2;5;49000.0
2550000.0;43.822137;56.360945;47.0;32.0;7.5;2;9;9;54255.31914893617
2370000.0;43.845368;56.358627;44.0;28.0;7.0;2;6;9;53863.63636363636
3500000.0;43.861735;56.354941;63.0;44.0;7.5;3;3;9;55555.555555555555
2350000.0;43.882396;56.336548;42.8;25.2;12.4;2;5;5;54906.54205607477
2588800.0;43.93169633;56.27276576;40.45;16.0;12.0;1;12;14;63999.99999999999
